No    | English        | Vietnamese     
812   | detail         | chi tiết. in detail: tường tận, tỉ mỉ
813   | detailed       | cặn kẽ, tỉ mỉ, nhiều chi tiết
814   | determination  | sự xác định, sự định rõ; sự quyết định
815   | determine      | xác định, định rõ; quyết định
816   | determined     | đã được xác định, đã được xác định rõ
817   | develop        | pháttriển,mởrộng;trìnhbày,bàytỏ
818   | development    | sựpháttriển,sựtrìnhbày,sự bàytỏ
819   | device         | kế sách; thiết bị, dụng cụ, máy móc
820   | devote         | hiếndâng, dànhhếtcho
821   | devoted        | hiếncho,dângcho,dànhcho; hếtlòng, nhiệttình
822   | diagram        | biểu đồ        
823   | diamond        | kim cương      
824   | diary          | sổ nhật ký; lịch ghi nhớ
825   | dictionary     | từ điển        
826   | die            | chết, tư trần, hy sinh
827   | diet           | chế độ ăn uống, chế độ ăn kiêng
828   | difference     | sự khác nhau   
829   | different      | khác, khác biệt, khác nhau
830   | differently    | khác, khác biệt, khác nhau
831   | difficult      | khó, khó khăn, gấy go
832   | difficulty     | sự khó khăn, nỗi khó khăn, điều cản trở
833   | dig            | đào bới, xới   
834   | dinner         | bữa trưa, chiều
835   | direct         | trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
836   | direction      | sự điều khiển, sự chỉ huy
837   | directly       | trực tiếp, thẳng
838   | director       | giám đốc, người điều khiển, chỉ huy
839   | dirt           | đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
840   | dirty          | bẩn thỉu, dơ bẩn
841   | disabled       | bất lực, không có khả năng
842   | disadvantage   | sự bất lợi, sự thiệt hại
843   | disagree       | bất đồng, không đồng ý, khác, không giống; không hợp
844   | disagreement   | sự bấtđồng,sựkhôngđồngý,sựkhácnhau
845   | disappear      | biến mất, biến đi
846   | disappoint     | không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
847   | disappointed   | thất vọng      
848   | disappointing  | làm chán ngán, làm thất vọng
849   | disappointment | sự chán ngán, sự thất vọng
850   | disapproval    | sự phản đổi, sự không tán thành
851   | disapprove     | không tán thành, phản đối, chê
852   | disapproving   | phản đối       
853   | disaster       | tai họa, thảm họa
854   | disc           | đĩa            
855   | discipline     | kỷ luật        
856   | discount       | sựbớtgiá, sự chiếtkhấu,tiềnbớtchiếtkhấu
857   | discover       | khám phá, phát hiện ra, nhận ra
858   | discovery      | sự khám phá, sự tìm ra, sự phát hiện ra
859   | discuss        | thảo luận, tranh luận
860   | discussion     | sự thảo luận, sự tranh luận
861   | disease        | căn bệnh, bệnh tật
862   | disgust        | làm ghê tởm, làm kinh tởm, làm phẫn nộ
863   | disgusted      | chán ghét,phẫnnộ
864   | disgusting     | làm ghê tởm, kinh tởm
865   | dish           | đĩa (đựng thức ăn)
866   | dishonest      | bất lương, không thành thật
867   | dishonestly    | bất lương, không lương thiện
868   | disk           | đĩa,đĩahát     
869   | dislike        | sựkhôngưa,khôngthích,sựghé
870   | dismiss        | giải tán (quân đội, đám đông); sa thải (người làm)
871   | display        | bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
872   | dissolve       | tan rã, phân hủy, giải tán
873   | distance       | khoảng cách, tầm xa
874   | distinguish    | phân biệt, nhận ra, nghe ra
875   | distribute     | phân bổ, phân phối, sắp xếp, phâ loại
876   | distribution   | sự phân bổ, sự phân phối, phân phát, sự sắp xếp
877   | district       | huyện, quận    
878   | disturb        | làm mất yên tĩnh, làm náo động, quấy rầy
879   | disturbing     | xáo trộn       
880   | divide         | chia, chia ra, phân ra
881   | division       | sự chia, sự phân chia, sự phân loại
882   | divorce        | sự ly dị       
883   | divorced       | đã ly dị       
884   | do             | làm            
885   | doctor         | bác sĩ y khoa, tiến sĩ
886   | document       | văn kiện, tài liệu, tư liệu
887   | dog            | chó            
888   | dollar         | đô la mỹ       
889   | domestic       | vậtnuôitrongnhà,(thuộc)nộitrợ,quốcnội
890   | dominate       | chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
891   | door           | cửa, cửa ra vào
892   | dot            | chấm nhỏ, điểm; của hồi môn
893   | double         | đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
894   | doubt          | sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
895   | down           | xuống          
896   | downstairs     | ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
897   | downward       | xuống, đi xuống
898   | downwards      | xuống, đi xuống
899   | dozen          | tá (12)        
900   | draft          | bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
901   | drag           | lôi kéo, kéo lê
902   | drama          | kịch, tuồng    
903   | dramatic       | như kịch, như đóng kịch, thích hợp với sân khấu
904   | dramatically   | đột ngột       
905   | draw           | vẽ, kéo        
906   | drawer         | người vẽ, người kéo
907   | drawing        | bản vẽ, bức vẽ, sự kéo
908   | dream          | giấc mơ, mơ    
909   | dress          | quần áo, mặc (quần áo), ăn mặc
910   | dressed        | cách ăn mặc    
911   | drink          | đồ uống; uống  
912   | drive          | lái , đua xe; cuộc đua xe (điều khiển)
913   | driver         | người lái xe   
914   | driving        | sự lái xe, cuộc đua xe
915   | drop           | chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
916   | drug           | thuốc, dược phẩm; ma túy
917   | drugstore      | hiệu thuốc, cửa hàng dược phẩm
918   | drum           | cái trống, tiếng trống
919   | drunk          | say rượu       
920   | dry            | khô, cạn;làmkhô,sấykhô
921   | due            | đến kỳ hạn (trả nợ); xứng đáng, thích đáng. due to vì, do, tại, nhờ có
922   | dull           | chậmhiểu, nguđần
923   | dump           | đổ rác; đống rác, nơi đổ rác
924   | during         | trong lúc, trong thời gian
925   | dust           | bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
926   | duty           | sự tôn kính, kính trọng; bồn phận, trách nhiệm
927   | dvd            | đĩa dvd        
928   | dying          | sự chết        
929   | each           | mỗi            
930   | ear            | tai            
931   | early          | sớm            
932   | earn           | kiếm (tiền), giành (phần thưởng)
933   | earth          | đất, trái đất  
934   | ease           | sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
935   | easily         | dễ dàng        
936   | east           | hướngđông,phíađông,(thuộc)đông,ởphíađông
937   | eastern        | đông           
938   | easy           | dễ dàng, dễ tính, ung dung
939   | eat            | ăn             
940   | economic       | (thuộc) kinh tế
941   | economy        | sự tiết kiệm, sự quản lý kinh tế
942   | edge           | lưỡi, cạnh sắc 
943   | edition        | nhà xuất bản, sự xuất bản
944   | editor         | người thu thập và xuất bản, chủ bút
945   | educate        | giáo dục, cho ăn học; rèn luyện
946   | educated       | được giáo dục, được đào tạo
947   | education      | sự giáo dục, sự rèn luyện (kỹ năng)
948   | effect         | hiệu ứng, hiệu quả, kết quả
949   | effective      | có kết quả, có hiệu lực
950   | effectively    | có kết quả, có hiệu lực
951   | efficient      | có hiệu lực, có hiệu quả
952   | efficiently    | có hiệu quả, hiệu nghiệm
953   | effort         | sự cố gắng, sự nỗ lực
954   | egg            | trứng          
955   | either         | mỗi, một; cũng phải thế
956   | elbow          | khuỷu tay      
957   | elderly        | có tuổi, cao tuổi
958   | elect          | bầu, quyết định
959   | election       | sự bầu cử,cuộctuyểncử
960   | electric       | (thuộc) điện, có điện, phát điện
961   | electrical     | (thuộc) điện   
962   | electricity    | điện, điện lực; điện lực học
963   | electronic     | (thuộc) điện tử
964   | elegant        | thanh lịch, tao nhã
965   | element        | yếu tố, nguyên tố
966   | elevator       | máy nâng, thang máy
967   | else           | khác, nữa; nếu không
968   | elsewhere      | ở một nơi nào khác
969   | email          | email          
970   | embarrass      | lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
971   | embarrassed    | lúng túng, bối rối, ngượng; mang nợ
972   | embarrassing   | làm lúng túng, ngăn trở
973   | embarrassment  | sự lúng túng, sự bối rối
974   | emerge         | nổi lên, hiện ra; nổi bật lên
975   | emergency      | tình trạng khẩn cấp
976   | emotion        | xự xúc động, sự cảm động, mối xác cảm
977   | emotional      | cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
978   | emotionally    | xúc động       
979   | emphasis       | sự nhấn mạnh, tầm quan trọng
980   | emphasize      | nhấn mạnh, làm nổi bật
981   | empire         | đế chế, đế quốc
982   | employ         | dùng, thuê ai làm gì
983   | employee       | người lao động, người làm công
984   | employer       | chủ, người sử dụng lao động
985   | employment     | sự thuê mướn   
986   | empty          | trống, rỗng; đổ, dốc; uống, làm cạn
987   | enable         | làm cho có thể, có khả năng; cho phép ai làm gì
988   | encounter      | chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
989   | encourage      | động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn
990   | encouragement  | niềm cổ vũ, động viên, khuyến khích
991   | end            | giới hạn, sự kết thúc; kết thúc, chấm dứt. in the end cuối cùng, v sau
992   | ending         | sự kết thúc, sự chấm dứt; phần cuối, kết cục
993   | enemy          | kẻ thù, quân địch
994   | energy         | năng lượng, nghị lực, sinh lực
995   | engage         | hứa hẹn, cam kết, đính ước
996   | engaged        | đã đính ước, đã hứa hôn; đã có người
997   | engine         | máy, động cơ   
998   | engineer       | kỹ sư          
999   | engineering    | nghề kỹ sư, công việc của kỹ sư
1000  | enjoy          | thưởng thức, thích thú cái gì, được hưởng, có được
1001  | enjoyable      | thú vị, thích thú
1002  | enjoyment      | sự thích thú, sự có được, được hưởng
1003  | enormous       | to lớn, khổng lồ
1004  | enough         | đủ             
1005  | enquiry        | sự điều tra, sự thẩm vấn
1006  | ensure         | bảo đảm, chắc chắn
1007  | enter          | đi vào, gia nhập
1008  | entertain      | giải trí, tiếp đón, chiêu đãi
1009  | entertainer    | người quản trò, người tiếp đãi, chiêu đãi
1010  | entertaining   | giải trí       
1011  | entertainment  | sự giải trí, sự tiếp đãi, chiêu đãi
1012  | enthusiasm     | sự hăng hái, sự nhiệt tình
1013  | enthusiastic   | hăng hái, say mê, nhiệt tình
1014  | entire         | toàn thể, toàn bộ
1015  | entirely       | toàn vẹn, trọn vẹn, toàn bộ
1016  | entitle        | cho tiêu đề, cho tên (sách); cho quyền làm gì
1017  | entrance       | sự đi vào, sự nhậm chức
1018  | entry          | sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
1019  | envelope       | phong bì       
1020  | environment    | môi trường, hoàn cảnh xung quanh
1021  | environmental  | thuộc về môi trường
1022  | equal          | ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
1023  | equally        | bằng nhau, ngang bằng
1024  | equipment      | trang, thiết bị
1025  | equivalent     | tương đương; tư, vật tương đương
1026  | error          | lỗi, sự sai sót, sai lầm
1027  | escape         | trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
1028  | especially     | đặc biệt là, nhất là
1029  | essay          | bài tiểu luận  
1030  | essential      | bản chất, thực chất, cốt yếu; yếu tố cần thiết
1031  | essentially    | vềbảnchất,vềcơbản
1032  | establish      | lập, thành lập 
1033  | estate         | tài sản, di sản, bất động sản
1034  | estimate       | sự ước lượng, đánh giá; ước lượng, đánh giá
1035  | etc            | vân vân        
1036  | euro           | đơn vị tiền tệ của liên minh châu âu
1037  | even           | ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
1038  | evening        | buổi chiều, tối
1039  | event          | sự việc, sự kiện
1040  | eventually     | cuối cùng      
1041  | ever           | từng, từ trước tới giờ
1042  | every          | mỗi, mọi       
1043  | everyone       | mọi người      
1044  | everything     | mọi vật, mọi thứ
1045  | everywhere     | mọi nơi        
1046  | evidence       | điều hiển nhiên, điều rõ ràng
1047  | evil           | xấu,ác; điềuxấu,điều ác, điều taihại
1048  | ex             | null           
1049  | exact          | chính xác, đúng
1050  | exactly        | chính xác, đúng đắn
1051  | exaggerate     | cường điệu, phóng đại
1052  | exaggerated    | cường điệu, phòng đại
1053  | exam           | viết tắt của examination (xem nghĩa phía dưới)
1054  | examination    | sự thi cử, kỳ thi
1055  | examine        | thẩm tra, khám xét, hỏi han (thí sinh)
1056  | example        | thí dụ, ví dụ  
1057  | explode        | đập tan (hy vọng...), làm nổ, nổ
1058  | explore        | thăm dò, thám hiểm
1059  | explosion      | sự nổ, sự phát triển ồ ạt
1060  | export         | xuất khẩu; hàng xuất khẩu, sự xuất khẩu
1061  | expose         | trưng bày, phơi bày
1062  | express        | diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
1063  | expression     | sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
1064  | extend         | giơ, duỗi ra (tay, châ(n).); kéo dài (thời gia(n).), dành cho, gửi lời
1065  | extension      | sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
1066  | extensive      | rộng rãi, bao quát
1067  | extent         | quy mô, phạm vi
1068  | extra          | thêm, phụ, ngoại; thứ thêm, phụ
1069  | extraordinary  | đặc biệt, lạ thường, khác thường
1070  | extreme        | vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
1071  | extremely      | vô cùng, cực độ
1072  | eye            | mắt            
1073  | face           | mặt,thểdiện; đươngđầu,đốiphóđốimặt
1074  | facility       | điều kiện dễ dàng, sự dễ dàng, thuận lợi
1075  | fact           | việc, sự việc, sự kiện
1076  | factor         | nhân tố        
1077  | factory        | nhà máy, xí nghiệp, xưởng
1078  | fail           | sai, thất bại  
1079  | failure        | sự thất bại, người thất bại
1080  | faint          | nhút nhát, yếu ớt
1081  | faintly        | nhút nhát, yếu ớt
1082  | fair           | hợp lý, công bằng; thuận lợi
1083  | fairly         | hợp lý, công bằng
1084  | faith          | sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
1085  | faithful       | trung thành, chung thủy, trung thực
1086  | faithfully     | trung thành, chung thủy, trung thực. yours faithfully bạn chân thành
1087  | fall           | rơi, ngã, sự rơi, ngã. fall over ngã lộn nhào, bị đổ
1088  | fame           | tên tuổi, danh tiếng
1089  | familiar       | thân thiết, quen thộc
1090  | family         | gia đình, thuộc gia đình
1091  | famous         | nổi tiếng      
1092  | fan            | người hâm mộ   
1093  | fancy          | tưởng tượng, cho, nghĩ rằng; tưởng tượng
1094  | far            | xa             
1095  | farm           | trang trại     
1096  | farmer         | nông dân, người chủ trại
1097  | farming        | công việc trồng trọt, đồng áng
1098  | fashion        | mốt, thời trang
1099  | fashionable    | đúng mốt, hợp thời trang
1100  | fast           | nhanh          
1101  | fasten         | buộc, trói     
1102  | fat            | béo, béo bở; mỡ, chất béo
1103  | father         | cha (bố)       
1104  | faucet         | vòi(ởthùngrượu)
1105  | fault          | sự thiết sót, sai sót
1106  | favour         | thiệný,sựquý mến;sựđồngý;sự chiếu cố.infavour/favor(of):ủnghộ cái gì(tobeinfavourofsomething )
1107  | favourite      | được ưa thích; người (vật) được ưa thích
1108  | fear           | sự sợ hãi, e sợ; sợ, lo ngại
1109  | feather        | lông chim      
1110  | feature        | nétđặt biệt, điểm đặctrưng;môtảnétđặc biệt, đặctrưngcủa…
1111  | february       | tháng 2        
1112  | federal        | liên bang      
1113  | fee            | tiền thù lao, học phí
1114  | feed           | cho ăn, nuôi   
1115  | feel           | cảm thấy       
1116  | feeling        | sự cảm thấy, cảm giác
1117  | fellow         | anh chàng (đáng yêu), đồng chí
1118  | female         | thuộc giống cái; giống cái
1119  | fence          | hàng rào       
1120  | festival       | lễ hội, đại hội liên hoan
1121  | fetch          | tìmvề,đemvề;làmbựcmình;làmsay mê,quyếnrũ
1122  | fever          | cơn sốt, bệnh sốt
1123  | few            | ít,vài; một ít, một vài. a few một ít, một vài
1124  | field          | cánh đồng, bãi chiến trường
1125  | fight          | đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
1126  | fighting       | sự chiến đấu, sự đấu tranh
1127  | figure         | hình dáng, nhân vật; hình dung, miêu tả
1128  | file           | hồ sơ, tài liệu
1129  | fill           | làm đấy, lấp kín
1130  | film           | phim,đượcdựngthànhphim
1131  | final          | cuối cùng, cuộc đấu chung kết
1132  | finally        | cuối cùng, sau cùng
1133  | finance        | tài chính; tài trợ, cấp vốn
1134  | financial      | thuộc (tài chính)
1135  | find           | tìm, tìm thấy. find out sth: khám phá, tìm ra
1136  | fine           | tốt, giỏi      
1137  | finely         | đẹp đẽ, tế nhị, cao thượng
1138  | finger         | ngón tay       
1139  | finish         | kết thúc, hoàn thành; sự kết thúc, phần cuối
1140  | finished       | hoàntất,hoànthành
1141  | fire           | lửa; đốt cháy. set fire to: đốt cháy cái gì
1142  | firm           | hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
1143  | firmly         | vững chắc, kiên quyết
1144  | first          | thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất. at first trực tiếp
1145  | fish           | cá, món cá; câu cá, bắt cá
1146  | fishing        | sự câu cá, sự đánh cá
1147  | fit            | hợp, vưa; thích hợp, xứng đáng
1148  | fix            | đóng, gắn, lắp; sửa chữa, sửa sang
1149  | fixed          | đứng yên, bất động
1150  | flag           | quốc kỳ        
1151  | flame          | ngọn lửa       
1152  | flash          | loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
1153  | flat           | bằngphẳng,bẹt,nhẵn;dãyphòng,cănphòng,mặtphẳng
1154  | flavour        | vị, mùi; cho gia vị, làm tăng thêm mùi vị
1155  | flesh          | thịt           
1156  | flight         | sự bỏ chạy, rút chạy; sự bay, chuyến bay
1157  | float          | nổi, trôi, lơ lửng
1158  | flood          | lụt, lũ lụtl; tràn đầy, tràn ngập
1159  | floor          | sàn, tầng (nhà)
1160  | flour          | bột, bột mỳ    
1161  | flow           | sự chảy; chảy  
1162  | flower         | hoa, bông, đóa, cây hoa
1163  | flu            | bệnh cúm       
1164  | fly            | bay; sự bay, quãng đường bay
1165  | flying         | biết bay; sự bay, chuyến bay
1166  | focus          | tập trung; trung tâm, trọng tâm ((n)bóng)
1167  | fold           | gấp, vén, xắn; nếp gấp
1168  | folding        | gấp lại được   
1169  | follow         | đi theo sau, theo, tiếp theo
1170  | following      | tiếp theo, theo sau, sau đây; sau, tiếp theo
1171  | food           | đồ ăn, thức, món ăn
1172  | foot           | chân, bàn chân 
1173  | football       | bóng đá        
1174  | for            | cho, dành cho...
1175  | force          | sức mạnh; ép buộc, cưỡng ép
1176  | forecast       | sự dự đoán, dự báo; dự đoán, dự báo
1177  | foreign        | (thuộc) nước ngoài, tư nước ngoài, ở nước ngoài
1178  | forest         | rừng           
1179  | forever        | mãi mãi        
1180  | forget         | quên           
1181  | forgive        | tha,thathứ     
1182  | fork           | cái nĩa        
1183  | form           | hình thể, hình dạng, hình thức; làm thành, được tạo thành
1184  | formal         | hình thức      
1185  | formally       | chính thức     
1186  | former         | trước, cũ, xưa, nguyên
1187  | formerly       | trướcđây,thuởxưa
1188  | formula        | công thức, thể thức, cách thức
1189  | fortune        | sự giàu có, sự thịnh vượng
1190  | forward        | về tương lai, sau này ở phía trước, tiến về phía trước
1191  | found          | tìm, tìm thấy  
1192  | foundation     | sựthànhlập, sựsánglập;tổchức
1193  | frame          | cấu trúc, hệ thống; dàn xếp, bố trí
1194  | free           | miễn phí, tự do, giải phóng, trả tự do
1195  | freedom        | sự tự do; nền tự do
1196  | freely         | tự do, thoải mái
1197  | freeze         | đóng băng, đông lạnh
1198  | frequent       | thường xuyên   
1199  | frequently     | thường xuyên   
1200  | fresh          | tươi, tươi tắn 
1201  | freshly        | tươi mát, khỏe khoắn
1202  | friday         | thứ sáu        
1203  | fridge         | tủ lạnh        
1204  | friend         | người bạn      
1205  | friendly       | thân thiện, thân mật
1206  | friendship     | tình bạn, tình hữu nghị
1207  | frighten       | làm sợ, làm hoảng sợ
1208  | frightened     | hoảng sợ, khiếp sợ
1209  | frightening    | kinh khủng, khủng khiếp
1210  | from           | frəm/ tư       
1211  | front          | mặt; đằngtrước,vềphíatrước.infront(of):ởphíatrước
1212  | frozen         | lạnh giá       
1213  | fruit          | quả, trái cây  
1214  | fry            | rán,chiên; thịtrán
1215  | fuel           | chất đốt, nhiên liệu
1216  | full           | đầy, đầy đủ    
1217  | fully          | đầy đủ, hoàn toàn
1218  | fun            | sự vui đùa, sự vui thích; hài hước make fun of: đùa cợt, chế giễu, chế nhạo
1219  | function       | chứcnăng;họat động,chạy(máy)
1220  | fund           | kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
1221  | fundamental    | cơ bản, cơ sở, chủ yếu
1222  | funeral        | lễ tang, đám tang
1223  | funny          | buồn cười, khôi hài
1224  | fur            | bộ da lông thú 
1225  | furniture      | đồ đạc (trong nhà)
1226  | further        | cấp so sánh của far
1227  | future         | tương lai      
1228  | gain           | lợi, lợi ích; giành được, kiếm được, đạt tới
1229  | gallon         | galông1gl = 4, 54lítởanh,3, 78lítởmỹ
1230  | gamble         | đánh bạc; cuộc đánh bạc
1231  | gambling       | trò cờ bạc     
1232  | game           | trò chơi       
1233  | gap            | đèo, lỗ hổng, kẽ hở; chỗ trống
1234  | garage         | nhà để ô tô    
1235  | garbage        | lòng, ruột (thú)
1236  | garden         | vườn           
1237  | gas            | khí, hơi đốt   
1238  | gasoline       | dầu lửa, dầu hỏa, xăng
1239  | gate           | cổng           
1240  | gather         | tập hợp; hái, lượm, thu thập
1241  | gear           | cơcấu,thiếtbị,dụngcụ
1242  | general        | chung, chung chung; tổng
1243  | generally      | nói chung, đại thể. in general: nói chung, đại khái
1244  | generate       | sinh, đẻ ra    
1245  | generation     | sự sinh ra, sự phát sinh ra; thế hệ đời
1246  | generous       | rộng lượng, khoan hồng, hào phóng
1247  | generously     | rộng lượng, hào phóng
1248  | gentle         | hiền lành, dịu dàng, nhẹ nhàng
1249  | gentleman      | ngườiquýphái, ngườithượnglưu
1250  | gently         | nhẹ nhàng, êm ái, dịu dàng
1251  | genuine        | thành thật, chân thật; xác thực
1252  | genuinely      | thành thật, chân thật
1253  | geography      | địa lý, khoa địa lý
1254  | get            | được, có được. get on leo, trèo lên. get off: ra khỏi, thoát khỏi
1255  | giant          | ngườikhổnglồ,ngườiphithườngkhổnglồ,phithường
1256  | gift           | quà tặng       
1257  | girl           | con gái        
1258  | girlfriend     | bạn gái, người yêu
1259  | give           | cho,biếu,tặng.give sthawaychophát.give sthout:chia,phân phối give(sth)upbỏ,tưbỏ
1260  | glad           | vui lòng, sung sướng
1261  | glass          | kính, thủy tinh, cái cốc, ly
1262  | glasses        | kính đeo mắt   
1263  | global         | toàn cầu, toàn thể, toàn bộ
1264  | glove          | bao tay, găng tay
1265  | glue           | keo,hồ;gắn lại, dánbằngkeo,hồ
1266  | go             | đi. go down: đi xuống. go up: đi lên. be going to sắp sửa, có ý định
1267  | goal           | mục đích,bànthắng,khungthành
1268  | god            | thần, chúa     
1269  | gold           | vàng; bằng vàng
1270  | good           | tốt, hay, tuyệt; điều tốt, điều thiện. good at: tiến bộ ở. good for: có lợi cho
1271  | goodbye        | tạm biệt; lời chào tạm biệt
1272  | goods          | của cải, tài sản, hàng hóa
1273  | govern         | cai trị, thống trị, cầm quyền
1274  | government     | chính phủ, nội các; sự cai trị
1275  | governor       | thủ lĩnh, chủ; kẻ thống trị
1276  | grab           | túm lấy, vồ, chộp lấy
1277  | grade          | điểm, điểm số; phân loại, xếp loại
1278  | gradual        | dần dần, tưng bước một
1279  | gradually      | dần dần, tư tư 
1280  | grain          | thóc lúa, hạt, hột; tính chất, bản chất
1281  | gram           | ngữ pháp       
1282  | grammar        | văn phạm       
1283  | grand          | rộnglớn,vĩđại  
1284  | grandchild     | cháu (của ông bà)
1285  | granddaughter  | cháu gái       
1286  | grandfather    | ông            
1287  | grandmother    | bà             
1288  | grandparent    | ông bà         
1289  | grandson       | cháu trai      
1290  | grant          | cho,bán,cấp; sựcho,sựbán,sự cấp
1291  | grass          | cỏ; bãi cỏ, đồng cỏ
1292  | grateful       | biết ơn, dễ chịu, khoan khoái
1293  | grave          | mộ, dấu huyền; trang nghiêm, nghiêm trọng
1294  | gray           | xám, hoa râm (tóc)
1295  | great          | to, lớn, vĩ đại
1296  | greatly        | rất, lắm; cao thượng, cao cả
1297  | green          | xanh lá cây    
1298  | grey           | màu xám        
1299  | groceries      | hàng tạp hóa   
1300  | grocery        | cửa hàng tạp phẩm
1301  | ground         | mặt đất, đất, bãi đất
1302  | group          | nhóm           
1303  | grow           | mọc, mọc lên. grow up lớn lên, trưởng thành
1304  | growth         | sự lớn lên, sự phát triển
1305  | guarantee      | sự bảohành,bảolãnh,người bảolãnh;camđoan,bảođảm
1306  | guard          | cái chắn, người bảo vệ; bảo vệ, gác, canh giữ
1307  | guess          | đoán, phỏng đoán; sự đoán, sự ước chưng
1308  | guest          | khách, khách mời
1309  | guide          | điều chỉ dẫn, người hướng dẫn; dẫn đường, chỉ đường
1310  | guilty         | có tội, phạm tội, tội lỗi
1311  | gun            | súng           
1312  | guy            | bù nhìn, anh chàng, gã
1313  | habit          | thói quen, tập quán
1314  | hair           | tóc            
1315  | hairdresser    | thợ làm tóc    
1316  | half           | một nửa, phần chia đôi, nửa giờ; nửa
1317  | hall           | đại sảnh, tòa (thị chính), hội trường
1318  | hammer         | búa            
1319  | hand           | tay, bàn tay; trao tay, truyền cho
1320  | handle         | cầm, sờ mó; tay cầm, móc quai
1321  | hang           | treo, mắc      
1322  | happen         | xảy ra, xảy đến
1323  | happily        | sung sướng, hạnh phúc
1324  | happiness      | sự sung sướng, hạnh phúc
1325  | happy          | vui sướng, hạnh phúc
1326  | hard           | cứng,rắn,hàkhắc;hếtsức cốgắng,tíchcực
1327  | hardly         | khắc nghiệt, nghiêm khắc, tàn tệ, khó khăn
1328  | harm           | thiệt hại, tổn hao; làm hại, gây thiệt hại
1329  | harmful        | gây tai hại, có hại
1330  | harmless       | không có hại   
1331  | hat            | cái mũ         
1332  | hate           | ghét; lòng căm ghét, thù hận
1333  | hatred         | lòng căm thì, sự căm ghét
1334  | have           | có             
1335  | he             | nó, anh ấy, ông ấy
1336  | head           | cái đầu (người, thú); chỉ huy, lãnh đại, dẫn đầu
1337  | headache       | chứng nhức đầu 
1338  | heal           | chữa khỏi, làm lành
1339  | health         | sức khỏe, thể chất, sự lành mạnh
1340  | healthy        | khỏe mạnh, lành mạnh
1341  | hear           | nghe           
1342  | hearing        | sự nghe, thính giác
1343  | heart          | tim, trái tim  
1344  | heat           | hơi nóng, sức nóng
1345  | heating        | sự đốt nóng, sự làm nóng
1346  | heaven         | thiên đường    
1347  | heavily        | nặng, nặng nề  
1348  | heavy          | nặng, nặng nề  
1349  | heel           | gót chân       
1350  | height         | chiều cao, độ cao; đỉnh, điểm cao
1351  | hell           | địa ngục       
1352  | hello          | lời chào, chào, xin chào
1353  | help           | giúp đỡ; sự giúp đỡ
1354  | helpful        | có ích; giúp đỡ
1355  | hence          | sauđây,kểtừ đây;do đó,vìthế
1356  | her            | nó, chị ấy, cô ấy, bà ấy
1357  | here           | đây, ở đây     
1358  | hero           | người anh hùng 
1359  | hers           | cái của nó, cái của cô ấy, cái của chị ấy, cái của bà ấy
1360  | herself        | chính nó, chính cô ta, chính chị ta chính bà ta
1361  | hesitate       | ngập ngưng, do dự
1362  | hi             | xin chào       
1363  | hide           | trốn, ẩn nấp; che giấu
1364  | high           | cao, ở mức độ cao
1365  | highlight      | làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
1366  | highly         | tốt, cao; hết sức, ở mức độ cao
1367  | highway        | đường quốc lộ  
1368  | hill           | đồi            
1369  | him            | nó, hắn, ông ấy, anh ấy
1370  | himself        | chínhnó,chínhhắn,chínhôngta,chínhanhta
1371  | hip            | hông           
1372  | hire           | thuê, cho thuê (nhà...); sự thuê, sự cho thuê
1373  | his            | của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
1374  | historical     | lịch sử, thuộc lịch sử
